lengths,chapters,done
0,1,True
0,1,True
0,1,True
0,1,True
0,11,False
0,2,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,3,True
0,7,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,5,True
0,1,True
0,3,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,False
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,2,True
0,1,True
0,4,False
0,1,True
0,3,False
0,6,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,4,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,5,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,20,True
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
