lengths,chapters,done
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,False
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,2,True
0,1,True
0,4,False
0,1,True
0,3,False
0,6,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,4,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,5,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,20,True
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,2,False
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
0,1,True
1,1,True
1,1,True
1,2,False
2,1,True
2,1,True
2,1,True
3,1,True
4,18,False
4,1,True
4,1,True
5,1,True
5,1,True
5,1,True
5,1,True
5,1,True
6,1,True
6,1,False
6,1,True
6,1,False
6,1,True
6,1,True
7,1,True
7,1,True
7,1,True
7,1,True
7,1,True
7,1,True
7,1,True
8,1,True
8,1,True
